Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2019-12-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,4,4,TRUE
2019-12-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-12-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,4,4,TRUE
2019-12-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-12-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-12-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,0,3,TRUE
2019-12-24,Rain,Rain,Rain,Rain,Light,Light,Light,Light,3,4,2,0,7,TRUE
2019-12-25,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,0,0,0,FALSE
2019-12-26,Rain,Clear,Clear,Rain,Light,NA,NA,Light,0,0,0,3,1,TRUE
2019-12-27,Rain,Rain,Rain,Rain,Light,Light,Light,Light,0,0,2,0,3,TRUE
2019-12-28,Rain,Rain,Fog,Clear,Moderate,Light,Severe,NA,3,0,0,3,2,TRUE
2019-12-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,0,0,0,2,TRUE
2019-12-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,0,1,TRUE
2019-12-31,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,1,TRUE
2020-01-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2020-01-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
